dbn,school_name,beds,location_name,ncessch,combokey
23K155,P.S./ I.S. 155 Nicholas Herkimer,332300010155,P.S./ I.S. 155 Nicholas Herkimer,360012102559,362058002559
23K156,P.S. 156 Waverly,332300010156,P.S. 156 Waverly,360012102564,362058002564
23K165,P.S. 165 Ida Posner,332300010165,P.S. 165 Ida Posner,360012102590,362058002590
23K178,P.S. 178 Saint Clair Mckelway,332300010178,P.S. 178 Saint Clair Mckelway,360012102623,362058002623
23K184,P.S. 184 Newport,332300010184,P.S. 184 Newport,360012102636,362058002636
23K284,P.S. 284 Lew Wallace,332300010284,P.S. 284 Lew Wallace,360012102794,362058002794
23K298,P.S. 298 Dr. Betty Shabazz,332300010298,P.S. 298 Dr. Betty Shabazz,360012102805,362058002805
23K323,P.S./I.S. 323,332300010323,P.S./I.S. 323,360012104886,362058004886
23K327,P.S. 327 Dr. Rose B. English,332300010327,P.S. 327 Dr. Rose B. English,360012102819,362058002819
23K332,P.S. 332 Charles H. Houston,332300010332,P.S. 332 Charles H. Houston,360012102822,362058002822
23K363,Brownsville Collaborative Middle School,332300010363,Brownsville Collaborative Middle School,360012106351,362058099832
23K392,I.S. 392,332300010392,I.S. 392,360012105237,362058005237
23K401,Christopher Avenue Community School,332300010401,Christopher Avenue Community School,360012106288,362058099982
23K446,Riverdale Avenue Community School,332300010446,Riverdale Avenue Community School,360012106313,362058099833
23K493,Brooklyn Collegiate: A College Board School,332300011493,Brooklyn Collegiate: A College Board School,360012105721,362058005721
23K514,Frederick Douglass Academy VII High School,332300010514,Frederick Douglass Academy VII High School,360012105722,362058005722
23K518,Kappa V,332300010518,Kappa V,360012105723,362058005723
23K522,Mott Hall IV,332300010522,Mott Hall IV,360012105724,362058005724
23K599,Brooklyn Landmark Elementary School,332300010599,Brooklyn Landmark Elementary School,360012106426,362058099831
23K631,General D. Chappie James Elementary School of Science,332300010631,General D. Chappie James Elementary School of Scie,360012106012,362058006012
23K634,General D. Chappie James Middle School of Science,332300010634,General D. Chappie James Middle School of Science,360012106026,362058006026
23K643,Brooklyn Democracy Academy,332300011643,Brooklyn Democracy Academy,360012105997,362058005997
23K644,Eagle Academy for Young Men II,332300011644,Eagle Academy for Young Men II,360012106078,362058006078
23K646,Aspirations Diploma Plus High School,332300011646,Aspirations Diploma Plus High School,360012105994,362058005994
23K647,Metropolitan Diploma Plus High School,332300011647,Metropolitan Diploma Plus High School,360012106064,362058006064
23K664,Brooklyn Environmental Exploration School (BEES),332300010664,Brooklyn Environmental Exploration School (BEES),360012106427,362058099830
23K668,Riverdale Avenue Middle School,332300010668,Riverdale Avenue Middle School,360012106428,362058099829
23K671,Mott Hall Bridges Academy,332300010671,Mott Hall Bridges Academy,360012106175,362058006175
23K697,Teachers Preparatory High School,332300011697,Teachers Preparatory High School,360012105242,362058005242
24Q005,I.S. 5 - The Walter Crowley Intermediate School,342400010005,I.S. 5 - The Walter Crowley Intermediate School,360009803117,362058003117
24Q007,P.S. 007 Louis F. Simeone,342400010007,P.S. 007 Louis F. Simeone,360009801406,362058001406
24Q012,P.S. 012 James B. Colgate,342400010012,P.S. 012 James B. Colgate,360009804563,362058004563
24Q013,P.S. 013 Clement C. Moore,342400010013,P.S. 013 Clement C. Moore,360009802081,362058002081
24Q014,P.S. 014 Fairview,342400010014,P.S. 014 Fairview,360009802084,362058002084
24Q016,P.S. Q016 The Nancy DeBenedittis School,342400010016,P.S. Q016 The Nancy DeBenedittis School,360009804146,362058004146
24Q019,P.S. 019 Marino Jeantet,342400010019,P.S. 019 Marino Jeantet,360009802103,362058002103
24Q028,P.S. 28 - The Thomas Emanuel Early Childhood Center,342400010028,P.S. 28 - The Thomas Emanuel Early Childhood Cente,360009805244,362058005244
24Q049,P.S. 049 Dorothy Bonawit Kole,342400010049,P.S. 049 Dorothy Bonawit Kole,360009802215,362058002215
24Q058,P.S. 58 - School of Heroes,342400010058,P.S. 58 - School of Heroes,360009805245,362058005245
24Q061,I.S. 061 Leonardo Da Vinci,342400010061,I.S. 061 Leonardo Da Vinci,360009802263,362058002263
24Q068,P.S. 068 Cambridge,342400010068,P.S. 068 Cambridge,360009802284,362058002284
24Q071,P.S. 071 Forest,342400010071,P.S. 071 Forest,360009802292,362058002292
24Q073,I.S. 73 - The Frank Sansivieri Intermediate School,342400010073,I.S. 73 - The Frank Sansivieri Intermediate School,360009802300,362058002300
24Q077,I.S. 077,342400010077,I.S. 077,360009804609,362058004609
24Q081,P.S. 81Q Jean Paul Richter,342400010081,P.S. 81Q Jean Paul Richter,360009802319,362058002319
24Q087,P.S. / I.S. 087 Middle Village,342400010087,P.S. / I.S. 087 Middle Village,360009802337,362058002337
24Q088,P.S. 088 Seneca,342400010088,P.S. 088 Seneca,360009802340,362058002340
24Q089,P.S. 089 Elmhurst,342400010089,P.S. 089 Elmhurst,360009802343,362058002343
24Q091,P.S. 091 Richard Arkwright,342400010091,P.S. 091 Richard Arkwright,360009802349,362058002349
24Q093,I.S. 093 Ridgewood,342400010093,I.S. 093 Ridgewood,360009802355,362058002355
24Q102,P.S. 102 Bayview,342400010102,P.S. 102 Bayview,360009802386,362058002386
24Q110,PS 110,342400010110,PS 110,360009806323,362058006323
24Q113,P.S./I.S. 113 Anthony J. Pranzo,342400010113,P.S./I.S. 113 Anthony J. Pranzo,360009802423,362058002423
24Q119,I.S. 119 The Glendale,342400010119,I.S. 119 The Glendale,360009802442,362058002442
24Q125,I.S. 125 Thom J. McCann Woodside,342400010125,I.S. 125 Thom J. McCann Woodside,360009802464,362058002464
24Q128,"P.S. 128 The Lorraine Tuzzo, Juniper Valley Elementary School",342400010128,"P.S. 128 The Lorraine Tuzzo, Juniper Valley Elemen",360009802474,362058002474
24Q143,P.S. 143 Louis Armstrong,342400010143,P.S. 143 Louis Armstrong,360009802521,362058002521
24Q153,P.S. 153 Maspeth Elem,342400010153,P.S. 153 Maspeth Elem,360009802551,362058002551
24Q199,P.S. 199 Maurice A. Fitzgerald,342400010199,P.S. 199 Maurice A. Fitzgerald,360009802678,362058002678
24Q211,Elm Tree Elementary School,342400010211,Elm Tree Elementary School,360009806430,362058006430
24Q229,P.S. 229 Emanuel Kaplan,342400010229,P.S. 229 Emanuel Kaplan,360009802739,362058002739
24Q236,International High School for Health Sciences,342400011236,International High School for Health Sciences,360009806432,362058006432
24Q239,P.S. 239,342400010239,P.S. 239,360009805564,362058005564
24Q264,Academy of Finance and Enterprise,342400011264,Academy of Finance and  Enterprise,360009805828,362058005828
24Q267,High School of Applied Communication,342400011267,High School of Applied Communication,360009805829,362058005829
24Q290,A.C.E. Academy for Scholars at the Geraldine Ferraro Campus,342400010290,A.C.E. Academy for Scholars at the Geraldine Ferra,360009806223,362058006223
24Q293,Civic Leadership Academy,342400011293,Civic Leadership Academy,360009806028,362058006028
24Q296,Pan American International High School,342400011296,Pan American International High School,360009806084,362058006084
24Q299,Bard High School Early College Queens,342400011299,Bard High School Early College Queens,360009806004,362058006004
24Q305,Learners and Leaders,342400010305,Learners and Leaders,360009806040,362058006040
24Q307,Pioneer Academy,342400010307,Pioneer Academy,360009806060,362058006060
24Q311,Corona Arts and Sciences Academy,342400010311,Corona Arts and Sciences Academy,360009806431,362058006431
24Q330,P.S. 330,342400010330,P.S. 330,360009806179,362058006179
24Q455,Newtown High School,342400011455,Newtown High School,360009802038,362058002038
24Q485,Grover Cleveland High School,342400011485,Grover Cleveland High School,360009801959,362058001959
24Q520,Middle College High School at LaGuardia Community College,342400011520,Middle College High School at LaGuardia Community,360009804895,362058004895
24Q530,International High School at LaGuardia Community College,342400011530,International High School at LaGuardia Community C,360009804896,362058004896
